id,date,time,na,na1,time_fraction,arrive
347,2019/04/22,9:34,9.57,0.3986111111,0.3986111111,1
348,2019/04/22,9:35,9.58,0.3993055556,0.3993055556,1
349,2019/04/22,9:35,9.58,0.3993055556,0.3993055556,1
350,2019/04/22,9:36,9.60,0.4,0.4,1
351,2019/04/22,9:37,9.62,0.4006944444,0.4006944444,1
352,2019/04/22,9:38,9.63,0.4013888889,0.4013888889,0
353,2019/04/22,9:38,9.63,0.4013888889,0.4013888889,1
354,2019/04/22,9:38,9.63,0.4013888889,0.4013888889,1
355,2019/04/22,9:39,9.65,0.4020833333,0.4020833333,1
356,2019/04/22,9:39,9.65,0.4020833333,0.4020833333,1
357,2019/04/22,9:39,9.65,0.4020833333,0.4020833333,1
358,2019/04/22,9:42,9.70,0.4041666667,0.4041666667,1
359,2019/04/22,9:43,9.72,0.4048611111,0.4048611111,1
360,2019/04/22,9:43,9.72,0.4048611111,0.4048611111,1
361,2019/04/22,9:43,9.72,0.4048611111,0.4048611111,1
362,2019/04/22,9:43,9.72,0.4048611111,0.4048611111,1
363,2019/04/22,9:44,9.73,0.4055555556,0.4055555556,1
364,2019/04/22,9:44,9.73,0.4055555556,0.4055555556,1
365,2019/04/22,9:44,9.73,0.4055555556,0.4055555556,1
366,2019/04/22,9:45,9.75,0.40625,0.40625,1
367,2019/04/22,9:46,9.77,0.4069444444,0.4069444444,1
368,2019/04/22,9:46,9.77,0.4069444444,0.4069444444,1
369,2019/04/22,9:46,9.77,0.4069444444,0.4069444444,1
370,2019/04/22,9:48,9.80,0.4083333333,0.4083333333,1
371,2019/04/22,9:48,9.80,0.4083333333,0.4083333333,1
372,2019/04/22,9:49,9.82,0.4090277778,0.4090277778,1
373,2019/04/22,9:50,9.83,0.4097222222,0.4097222222,0
374,2019/04/22,9:50,9.83,0.4097222222,0.4097222222,1
375,2019/04/22,9:50,9.83,0.4097222222,0.4097222222,1
376,2019/04/22,9:53,9.88,0.4118055556,0.4118055556,1
377,2019/04/22,9:53,9.88,0.4118055556,0.4118055556,1
378,2019/04/22,9:54,9.90,0.4125,0.4125,1
379,2019/04/22,9:54,9.90,0.4125,0.4125,1
380,2019/04/22,9:55,9.92,0.4131944444,0.4131944444,1
381,2019/04/22,9:56,9.93,0.4138888889,0.4138888889,1
382,2019/04/22,9:56,9.93,0.4138888889,0.4138888889,1
383,2019/04/22,9:57,9.95,0.4145833333,0.4145833333,1
384,2019/04/22,9:57,9.95,0.4145833333,0.4145833333,1
385,2019/04/22,9:57,9.95,0.4145833333,0.4145833333,1
386,2019/04/22,9:58,9.97,0.4152777778,0.4152777778,1
387,2019/04/22,9:58,9.97,0.4152777778,0.4152777778,1
388,2019/04/22,10:02,10.03,0.4180555556,0.4180555556,1
389,2019/04/22,10:03,10.05,0.41875,0.41875,1
390,2019/04/22,10:04,10.07,0.4194444444,0.4194444444,1
391,2019/04/22,10:05,10.08,0.4201388889,0.4201388889,1
392,2019/04/22,10:06,10.10,0.4208333333,0.4208333333,1
393,2019/04/22,10:06,10.10,0.4208333333,0.4208333333,1
394,2019/04/22,10:07,10.12,0.4215277778,0.4215277778,1
395,2019/04/22,10:09,10.15,0.4229166667,0.4229166667,1
396,2019/04/22,10:09,10.15,0.4229166667,0.4229166667,1
397,2019/04/22,10:09,10.15,0.4229166667,0.4229166667,1
398,2019/04/22,10:10,10.17,0.4236111111,0.4236111111,1
399,2019/04/22,10:10,10.17,0.4236111111,0.4236111111,1
400,2019/04/22,10:11,10.18,0.4243055556,0.4243055556,1
401,2019/04/22,10:12,10.20,0.425,0.425,0
402,2019/04/22,10:12,10.20,0.425,0.425,1
403,2019/04/22,10:12,10.20,0.425,0.425,1
404,2019/04/22,10:13,10.22,0.4256944444,0.4256944444,1
405,2019/04/22,10:13,10.22,0.4256944444,0.4256944444,1
406,2019/04/22,10:14,10.23,0.4263888889,0.4263888889,1
407,2019/04/22,10:14,10.23,0.4263888889,0.4263888889,1
408,2019/04/22,10:15,10.25,0.4270833333,0.4270833333,1
409,2019/04/22,10:16,10.27,0.4277777778,0.4277777778,1
410,2019/04/22,10:16,10.27,0.4277777778,0.4277777778,0
411,2019/04/22,10:17,10.28,0.4284722222,0.4284722222,1
412,2019/04/22,10:17,10.28,0.4284722222,0.4284722222,1
413,2019/04/22,10:17,10.28,0.4284722222,0.4284722222,1
414,2019/04/22,10:18,10.30,0.4291666667,0.4291666667,1
415,2019/04/22,10:18,10.30,0.4291666667,0.4291666667,1
416,2019/04/22,10:18,10.30,0.4291666667,0.4291666667,1
417,2019/04/22,10:21,10.35,0.43125,0.43125,1
418,2019/04/22,10:21,10.35,0.43125,0.43125,1
419,2019/04/22,10:21,10.35,0.43125,0.43125,1
420,2019/04/22,10:22,10.37,0.4319444444,0.4319444444,0
421,2019/04/22,10:22,10.37,0.4319444444,0.4319444444,1
422,2019/04/22,10:22,10.37,0.4319444444,0.4319444444,1
423,2019/04/22,10:26,10.43,0.4347222222,0.4347222222,1
424,2019/04/22,10:26,10.43,0.4347222222,0.4347222222,1
425,2019/04/22,10:26,10.43,0.4347222222,0.4347222222,1
